"repo","size"
"2015-06-16-ttt-aciref",901120
"2015-06-12-ttt-iplant",905216
"python-novice-inflammation-2.7",5573632
"instructor-retreat-2015",437248
"DEPRECATED-training-prep-2015-09",382976
"best-practices-scientific-computing",540672
"software-carpentry-lessons-learned",820224
"good-enough-practices-in-scientific-computing",6515712
"version-control-for-lessons",108544
"swc-conda-recipes",161792
"scientists-code-review",832512
"wssspe2014-practices-tools-useful",6511616
"python-intermediate",122880
"website",181055488
"2016-01-28-auckland-instructor-training",822272
"2016-01-18-brisbane-instructor-training",808960
"2016-01-21-melbourne-instructor-training",800768
"2016-01-13-instructor-training-lausanne",1001472
"training-florida-2016-01-21",833536
"python-novice-gapminder",8123392
"2016-02-16-training-online",802816
"2016-02-22-training-ucdavis",801792
"2016-04-13-training-online",800768
"2016-04-17-instructor-training-nwu",870400
"2016-05-04-instructor-training-ssi",869376
"2016-05-11-ttt-compute-canada",915456
"2016-05-18-ttt-online",916480
"2016-06-08-ttt-online",916480
"swc-releases",112640
"sc16-tutorial-proposal",181248
"SWC-bug-bbq",160768
"2016-07-11-ttt-scipy",526336
"python-second-language",3295232
"scipy2016-instructor-training",829440
"workshop-template-pt-br",1748992
"visualization-novice",1135616
"python-novice-images",3244032
"managing-research-software-projects",3117056
"2016-08-17-lbl",1559552
"2016-09-19-ttt-cambridge",57644032
"python-novice-plotting-ARCHIVED",3295232
"teaching-redirect",0
"installation-testing-scripts",80896
"installation-testing-results-server",227328
"2016-09-14-yorku",1242112
"2016-10-03-ttt-online",1680384
"2016-10-20-ttt-online",1676288
"2016-10-27-ttt-online",1675264
"software-carpentry-sep2016",2085888
"2016-12-15-ttt-online",1678336
"2016-11-03-ttt-cuny",1677312
"2016-11-07-ttt-online",1683456
"2016-12-13-ttt-ucsf",1689600
"images",140091392
"carpentrycon2017",1024
"python-testing",1490944
"2017-05-04-ttt-csvconf",1681408
"swcarpentry",7168
"2017-01-11-ttt-online",1682432
"website-bak",125728768
"2017-01-19-ttt-ecp",1686528
"instructors-introduction",11264
"infra-lessons",4096
"collaborative-lesson-development",6446080
"git-novice-es",7584768
"shell-novice-es",8498176
"r-novice-gapminder-es",81836032
"curriculum-advisors",13312
".github",5120
"B-python-novice-inflammation",21504
