"repo","size"
"python-aos-lesson",36610048
"reviews",112640
"metagenomics-analysis",21436416
"metagenomics-R",10248192
"metagenomics-workshop",77303808
"metagenomics-shell",59863040
"metagenomics-organization",3289088
"carpentries-lab.org",493568
"clbadges",105472
".github",0
